"decimal_year_whole","mean_temp"
1988,20.7637099303136
1989,20.2702071809801
1990,20.5816784132623
1991,20.3531787316533
1992,20.3651192936961
1993,20.3914651678277
1994,20.2962270353303
1995,20.0870960137342
1996,19.9445656873357
1997,20.1499955870445
1998,20.4259327133553
1999,20.7686271672249
2000,20.9578686716381
2001,20.8126191118606
2002,21.313884215152
2003,21.2294473825195
2004,20.9952454913739
2005,20.3819717438141
2006,20.8140075144744
2007,20.5221723224173
2008,20.7150854252268
2009,21.3430781599187
2010,20.3871868475888
2011,20.795681078367
2012,20.9922341975244
2013,20.394950873814
2014,21.402231604678
2015,21.191848692511
2016,21.4059956370357
