Year,MeanTemp,BloomStartDay,BloomPeakDay,BloomDuration,BloomMagnitude,BloomAmplitude,MeanStratification
1995,20.0870960137342,32,45,56,10.437923750000001,0.19306,1.0117669776702807
1996,19.9445656873357,30,114,14,2.6368475,0.224925,1.2449725889260423
1997,20.1499955870445,14,343,14,1.5582174999999998,0.1280375,1.7408179502217378
1998,20.4259327133553,43,59,28,5.458485,0.20505,1.1487003236904993
1999,20.7686271672249,55,55,39,7.52815125,0.2037625,1.1690601413569197
2000,20.9578686716381,29,46,17,2.939725,0.174145,1.1831252171162119
2002,21.313884215152,58,58,8,1.1333,0.1551725,1.3578409367707083
2003,21.2294473825195,35,63,11,2.0625549999999997,0.18827,1.4193839488639437
2011,20.795681078367,86,97,11,2.1066512499999996,0.1944175,1.4316242893943523
2012,20.9922341975244,41,69,62,10.659682499999999,0.1887875,1.36706236975722
2013,20.394950873814,23,44,75,13.1681925,0.2168075,1.2807749901492327
2015,21.191848692511,35,147,37,6.84167,0.18696,1.4261623869408846
2016,21.4059956370357,107,126,28,3.4925450000000002,0.1309875,1.0849466650237298
